id,pond_id,total_seed,started_at,finished_at,area,size,berat,id2,harvested_at,status,,,,,,
20151,36826,300222,11/15/2022 0:00,2/10/2023 0:00,706.5,190,1.5,16323,2/10/2023,Full,,,,,,
20151,36826,300222,11/15/2022 0:00,2/10/2023 0:00,706.5,190,17.22,16324,2/10/2023,Full,,,,,,
21024,38248,325000,3/13/2023 0:00,6/30/2023 0:00,2500,86,712.17,17938,5/17/2023,Partial,,,,,,
21024,38248,325000,3/13/2023 0:00,6/30/2023 0:00,2500,200,0.86,17983,5/17/2023,Partial,,,,,,
21024,38248,325000,3/13/2023 0:00,6/30/2023 0:00,2500,86,0.39,18006,5/17/2023,Partial,,,,,,
21024,38248,325000,3/13/2023 0:00,6/30/2023 0:00,2500,86,0.11,18096,5/17/2023,Partial,,,,,,
21024,38248,325000,3/13/2023 0:00,6/30/2023 0:00,2500,64,640.51,18187,5/27/2023,Partial,,,,,,
21024,38248,325000,3/13/2023 0:00,6/30/2023 0:00,2500,180,1.04,18188,5/27/2023,Partial,,,,,,
21024,38248,325000,3/13/2023 0:00,6/30/2023 0:00,2500,64,60,18189,5/27/2023,Partial,,,,,,
21024,38248,325000,3/13/2023 0:00,6/30/2023 0:00,2500,64,30,18190,5/27/2023,Partial,,,,,,
21024,38248,325000,3/13/2023 0:00,6/30/2023 0:00,2500,46,574.42,18575,6/13/2023,Partial,,,,,,
21024,38248,325000,3/13/2023 0:00,6/30/2023 0:00,2500,120,1.21,18576,6/13/2023,Partial,,,,,,
21024,38248,325000,3/13/2023 0:00,6/30/2023 0:00,2500,46,3.15,18577,6/13/2023,Partial,,,,,,
21024,38248,325000,3/13/2023 0:00,6/30/2023 0:00,2500,45,423.92,18807,6/21/2023,Partial,,,,,,
21024,38248,325000,3/13/2023 0:00,6/30/2023 0:00,2500,45,50,18809,6/21/2023,Partial,,,,,,
21024,38248,325000,3/13/2023 0:00,6/30/2023 0:00,2500,45,10.71,18810,6/21/2023,Partial,,,,,,
21024,38248,325000,3/13/2023 0:00,6/30/2023 0:00,2500,44,670.59,18854,6/23/2023,Partial,,,,,,
21024,38248,325000,3/13/2023 0:00,6/30/2023 0:00,2500,80,19.33,18855,6/23/2023,Partial,,,,,,
21024,38248,325000,3/13/2023 0:00,6/30/2023 0:00,2500,44,9.16,18856,6/23/2023,Partial,,,,,,
21024,38248,325000,3/13/2023 0:00,6/30/2023 0:00,2500,43,1514.03,19010,6/30/2023,Full,,,,,,
21024,38248,325000,3/13/2023 0:00,6/30/2023 0:00,2500,68,153.85,19011,6/30/2023,Full,,,,,,
21024,38248,325000,3/13/2023 0:00,6/30/2023 0:00,2500,43,59.86,19012,6/30/2023,Full,,,,,,
20975,34729,200000,1/17/2023 0:00,5/25/2023 0:00,5079.4,30,5389.6,18326,5/25/2023,Full,,,,,,
20742,25578,228000,10/22/2022 0:00,1/2/2023 0:00,1700.15,60.2,1549.31,15486,1/2/2023,Full,,,,,,
20742,25578,228000,10/22/2022 0:00,1/2/2023 0:00,1700.15,150,80.11,15487,1/2/2023,Full,,,,,,
20742,25578,228000,10/22/2022 0:00,1/2/2023 0:00,1700.15,60.2,15,15489,1/2/2023,Full,,,,,,
20742,25578,228000,10/22/2022 0:00,1/2/2023 0:00,1700.15,60.2,127,15495,1/2/2023,Full,,,,,,
17632,5,114000,2/18/2022 0:00,5/23/2022 0:00,1574,61,378.5,10465,4/23/2022,Partial,,,,,,
17632,5,114000,2/18/2022 0:00,5/23/2022 0:00,1574,70,10,10466,4/23/2022,Partial,,,,,,
17632,5,114000,2/18/2022 0:00,5/23/2022 0:00,1574,70,43.6,10478,4/23/2022,Partial,,,,,,
17632,5,114000,2/18/2022 0:00,5/23/2022 0:00,1574,45,327.4,10606,5/9/2022,Partial,,,,,,
17632,5,114000,2/18/2022 0:00,5/23/2022 0:00,1574,67,73.05,10607,5/9/2022,Partial,,,,,,
17632,5,114000,2/18/2022 0:00,5/23/2022 0:00,1574,90,19,10608,5/9/2022,Partial,,,,,,
17632,5,114000,2/18/2022 0:00,5/23/2022 0:00,1574,39,340,10766,5/23/2022,Full,,,,,,
17632,5,114000,2/18/2022 0:00,5/23/2022 0:00,1574,33,1,10767,5/23/2022,Full,,,,,,
17632,5,114000,2/18/2022 0:00,5/23/2022 0:00,1574,39,1,10768,5/23/2022,Full,,,,,,
17632,5,114000,2/18/2022 0:00,5/23/2022 0:00,1574,53,7,10769,5/23/2022,Full,,,,,,
17632,5,114000,2/18/2022 0:00,5/23/2022 0:00,1574,53,25,10770,5/23/2022,Full,,,,,,
17632,5,114000,2/18/2022 0:00,5/23/2022 0:00,1574,53,76,10771,5/23/2022,Full,,,,,,
17632,5,114000,2/18/2022 0:00,5/23/2022 0:00,1574,53,76,10781,5/23/2022,Full,,,,,,
17632,5,114000,2/18/2022 0:00,5/23/2022 0:00,1574,39,1,10784,5/23/2022,Full,,,,,,
14094,34691,300000,12/16/2022 0:00,3/18/2023 0:00,4999.9,18,5026,17260,3/18/2023,Full,,,,,,
17633,18394,96866,11/4/2021 0:00,1/9/2022 0:00,1000,82.09,117.11,9388,1/9/2022,Full,,,,,,
17741,31466,213590,4/18/2022 0:00,7/25/2022 0:00,1000,96.6,244.8,11156,6/18/2022,Partial,,,,,,
17741,31466,213590,4/18/2022 0:00,7/25/2022 0:00,1000,96.6,8.76,11164,6/18/2022,Partial,,,,,,
17741,31466,213590,4/18/2022 0:00,7/25/2022 0:00,1000,37.8,841.87,12156,7/25/2022,Full,,,,,,
17741,31466,213590,4/18/2022 0:00,7/25/2022 0:00,1000,37,13.9,12157,7/25/2022,Full,,,,,,
20837,31866,204180,11/16/2022 0:00,1/6/2023 0:00,1554.05,141,1062.73,15567,1/6/2023,Full,,,,,,
20837,31866,204180,11/16/2022 0:00,1/6/2023 0:00,1554.05,141,104.82,15568,1/6/2023,Full,,,,,,
20837,31866,204180,11/16/2022 0:00,1/6/2023 0:00,1554.05,141,82.26,15569,1/6/2023,Full,,,,,,
19615,13251,200000,11/29/2022 0:00,3/9/2023 0:00,2020,102.9,683.3,16026,1/28/2023,Partial,,,,,,
19615,13251,200000,11/29/2022 0:00,3/9/2023 0:00,2020,102.9,13.3,16027,1/28/2023,Partial,,,,,,
19615,13251,200000,11/29/2022 0:00,3/9/2023 0:00,2020,65,846.2,16378,2/16/2023,Partial,,,,,,
19615,13251,200000,11/29/2022 0:00,3/9/2023 0:00,2020,65,4.8,16379,2/16/2023,Partial,,,,,,
19615,13251,200000,11/29/2022 0:00,3/9/2023 0:00,2020,43.8,2320.8,16618,3/9/2023,Full,,,,,,
