cycle_id,size,weight,id,harvested_at,status
14583,111.23,321.26,12107,7/23/2022,Full
14583,111.23,21.87,12108,7/23/2022,Full
14583,111.23,18.11,12109,7/23/2022,Full
16332,93.3,3026.5,11527,7/6/2022,Partial
16332,60.4,3577,12061,7/23/2022,Partial
16332,40.3,3340.6,12360,8/9/2022,Partial
16332,31.9,3453.5,12836,8/25/2022,Partial
16332,26.53,10369.1,13069,9/9/2022,Full
18468,94,763.45,4744,4/12/2021,Partial
18468,81,2696.8,4911,4/21/2021,Failed
18958,67.45,592.76,6359,8/4/2021,Partial
18958,47.78,546.72,6558,8/17/2021,Full
15812,84,458.94,15009,12/10/2022,Partial
15812,84,13.5,15010,12/10/2022,Partial
15812,68,1289.65,15318,12/20/2022,Partial
15812,68,42.16,15319,12/20/2022,Partial
15812,37.6,5282.69,16080,1/30/2023,Full
15812,59.4,208.81,16081,1/30/2023,Full
15812,37.6,169.84,16082,1/30/2023,Full
15812,37.6,5,16083,1/30/2023,Full
21089,85.82,666.69,15902,1/23/2023,Partial
21089,85.82,22.94,15903,1/23/2023,Partial
21089,69.55,2580.49,16219,2/3/2023,Full
21089,69.55,88.12,16220,2/3/2023,Full
9098,190,288.71,11383,6/21/2022,Full
9098,200,90000,12432,7/19/2022,Full
9098,140,1270,13793,9/29/2022,Full
21944,207.03,211.61,11947,7/16/2022,Full
21944,226.47,7.23,11948,7/16/2022,Full
15015,109,238,18402,6/6/2023,Partial
15015,83,206,18639,6/14/2023,Partial
15015,53,225.74,19198,7/3/2023,Partial
15015,47,1260,19572,7/11/2023,Full
19313,98,226.4,13777,10/15/2022,Full
19313,140,48.05,13778,10/15/2022,Full
19313,120,3,13779,10/15/2022,Full
19313,120,7.5,13780,10/15/2022,Full
20936,78.74,685.76,13137,9/14/2022,Partial
20936,78.74,3.45,13138,9/14/2022,Partial
20936,51.2,2540,13708,10/11/2022,Full
20936,51.2,143.67,13709,10/11/2022,Full
20936,51.2,7,13789,10/15/2022,finishing (pengesatan)
17631,84.43,591.09,15285,12/19/2022,Partial
17631,84.43,21.38,15286,12/19/2022,Partial
17631,69.27,751.27,15506,1/3/2023,Partial
17631,69.27,35.4,15526,1/3/2023,Partial
17631,66.3,857.64,15624,1/9/2023,Full
17631,66.3,83.47,15685,1/9/2023,Full
17631,66.3,13.01,15686,1/9/2023,Full
17631,66.3,41.39,15687,1/9/2023,Full
18975,107,201.9,13773,10/15/2022,Full
18975,150,52.9,13774,10/15/2022,Full
18975,130,5,13775,10/15/2022,Full
18975,130,6.8,13776,10/15/2022,Full
20949,40,5000,13059,7/1/2022,Full
16006,98.6,288.97,14654,11/23/2022,Partial
16006,65.7,392.39,17330,12/7/2022,Partial
16006,50,865.25,17331,12/21/2022,Partial
16006,38,1401.74,17332,1/11/2023,Full
20975,30,5389.6,18326,5/25/2023,Full
15772,78.74,624.22,15900,1/23/2023,Partial
15772,78.74,18.68,15901,1/23/2023,Partial
15772,65.33,2480.69,16225,2/4/2023,Full
15772,65.33,93.75,16226,2/4/2023,Full
15772,65.33,21,16227,2/4/2023,Full
15775,124,1.22,10430,4/24/2022,Partial
15775,126.58,0.86,10431,4/24/2022,Partial
15775,265.5,0.29,10449,4/10/2022,Partial
15775,158.6,1.47,10450,4/17/2022,Partial
15775,100.4,962.4,10663,5/4/2022,Partial
15775,70,1398.95,10811,5/17/2022,Partial
15775,61,4257,10812,5/24/2022,Full
17609,125,370,15657,1/8/2023,Partial
17609,192,25,15694,1/8/2023,Partial
17609,192,0.66,15764,1/8/2023,Partial
17609,102,599.68,15809,1/16/2023,Partial
17609,102,547.88,15859,1/16/2023,Partial
17609,180,50,15972,1/17/2023,Partial
17609,180,1.8,15984,1/17/2023,Partial
17609,73.1,267.62,16185,2/3/2023,Partial
17609,73.1,9.92,16186,2/3/2023,Partial
17609,175,5.04,16204,2/3/2023,Partial
17609,72.4,954.24,16284,2/9/2023,Full
17609,72.4,13.66,16285,2/9/2023,Full
17609,190,28.26,16300,2/9/2023,Full
17609,190,0.34,16311,2/9/2023,Full
17609,190,3.5,16312,2/9/2023,Full
17749,179,0.8,16828,2/27/2023,Partial
17749,103,2.09,16834,3/13/2023,Partial
17749,66,2.86,17084,3/27/2023,Partial
17749,79,2.13,17089,3/20/2023,Partial
17749,130,1.38,17292,3/6/2023,Partial
17749,65,2.47,17295,4/3/2023,Partial
17749,60,2.65,17298,4/9/2023,Partial
17749,62,927.1,17299,4/11/2023,Full
17749,95,57.15,17302,4/11/2023,Full
17749,70,16,17307,4/11/2023,Full
19239,156,438.74,15664,1/9/2023,Partial
19239,119,532.34,15823,1/17/2023,Partial
19239,119,506.88,15873,1/17/2023,Partial
19239,180,8.58,15994,1/17/2023,Partial
19239,225,16.88,16004,1/17/2023,Partial
19239,82,1357.86,16286,2/9/2023,Full
19239,82,24.64,16287,2/9/2023,Full
19239,190,67.48,16301,2/9/2023,Full
19239,190,7,16304,2/9/2023,Full
19239,190,0.6,16310,2/9/2023,Full
20857,71,108.78,12909,8/27/2022,Full
19261,130,577,15409,12/4/2022,Partial
19261,92,747.54,15410,12/15/2022,Partial
19261,65,1187.24,15411,12/26/2022,Full
20617,102,452.21,9353,1/22/2022,Partial
20617,66,392,9474,2/5/2022,Partial
20617,125,52.26,9475,2/5/2022,Partial
20617,45,270.94,9602,2/17/2022,Full
20617,70,26.72,9603,2/17/2022,Full
20617,45,270.94,9786,2/17/2022,Full
20617,70,70,9787,2/17/2022,Full
20617,66,392,9788,2/5/2022,Partial
20617,140,40,9789,1/22/2022,Partial
20617,125,52.26,9791,2/5/2022,Partial
14577,365.5,0.2,10437,4/9/2022,Partial
14577,173,1.66,10438,4/16/2022,Partial
14577,127.2,0.98,10439,4/23/2022,Partial
14577,38,1013,11027,6/12/2022,Full
16334,164.5,337,15581,11/23/2022,Partial
16334,118.1,698.5,15599,12/14/2022,Partial
16334,87,366.4,15740,1/3/2023,Partial
16334,76.2,2670.31,16134,1/21/2023,Full
17218,220,795,14986,11/25/2022,Full
21688,103.56,163.59,12181,6/26/2022,Partial
21688,80,180,12182,7/7/2022,Partial
21688,47.8,1200,12207,8/1/2022,Full
21688,80,180,12435,8/1/2022,
21688,103,163.59,12436,8/1/2022,
10714,95.38,386.54,12485,7/19/2022,Partial
10714,71.78,377.49,12486,8/1/2022,Partial
10714,64.47,2315.29,12487,8/12/2022,Full
13451,113,829.45,14170,8/23/2022,Partial
13451,77.1,1100.9,14171,9/3/2022,Partial
13451,55,1045.1,14172,9/13/2022,Partial
13451,40.2,888.9,14173,9/27/2022,Partial
13451,33,4024.3,14174,10/8/2022,Full
19686,134,410.14,15648,1/8/2023,Partial
19686,115,565.78,15798,1/15/2023,Partial
19686,115,10,15842,1/15/2023,Partial
19686,115,476.82,15852,1/15/2023,Partial
19686,205,25,15940,1/15/2023,Partial
19686,195,25,15941,1/15/2023,Partial
19686,195,20,15942,1/15/2023,Partial
19686,185,9.68,15950,1/15/2023,Partial
19686,195,5,15977,1/15/2023,Partial
19686,195,2,15978,1/15/2023,Partial
19686,195,2.28,15979,1/15/2023,Partial
19686,72.4,279.16,16191,2/3/2023,Partial
19686,72.4,12,16192,2/3/2023,Partial
19686,72.4,20,16197,2/3/2023,Partial
19686,175,7.46,16200,2/3/2023,Partial
19686,175,0.78,16206,2/3/2023,Partial
19686,73.7,759.86,16281,2/9/2023,Full
19686,73.7,18.64,16282,2/9/2023,Full
19686,190,26.72,16298,2/9/2023,Full
19686,190,2.86,16308,2/9/2023,Full
21716,110,500,12265,7/28/2022,Full
19068,166,280.86,15546,1/5/2023,Partial
19068,255,20,15552,1/5/2023,Partial
19068,167,291.72,15790,1/15/2023,Partial
19068,185,305,15888,1/18/2023,Full
18590,78,170,12090,7/22/2022,Full
